,course_name,course_link,university_name,course_type,university_logo,time_required,course_language,course_subtitles,course_skills,course_rating,category,sub_category,course_level
3960,Silicon Thin Film Solar Cells,https://www.coursera.org/learn/silicon-thin-film-solar-cells,École Polytechnique,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/06/a7a3302dde11e9a6d08fb1c81d3180/Ecole-polytechnique_vertical_cmjn-carre.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 5 hours to complete,English,Subtitles: English,[],not-mentioned,Physical Science and Engineering,Electrical Engineering,Advanced Level
3961,Simple Nearest Neighbors Regression and Classification ,https://www.coursera.org/learn/simple-nearest-neighbors-regression-and-classification,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,2 hours,English,English,"['Statistical Analysis', 'Machine Learning', 'Python Programming', 'regression', 'classification']",not-mentioned,Data Science,Machine Learning,Subtitles: English
3962,Simple Recurrent Neural Network with Keras,https://www.coursera.org/learn/simple-recurrent-neural-network-keras,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,not-mentioned,not-mentioned,not-mentioned,"['Data Science', 'Machine Learning', 'Tensorflow', 'sequence models', 'Recurrent Neural Network']",4.5stars,Data Science,Machine Learning,mixed/not-mentioned
3963,Simple Regression Analysis in Public Health ,https://www.coursera.org/learn/simple-regression-analysis-public-health,Johns Hopkins University,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/74/7ae340ec6911e5b395490a2a565172/JHU-Logo-Square-Mini_180px.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 14 hours to complete,English,Subtitles: English,"['P-Value', 'Proportional Hazards Model', 'Confounding', 'regression']",not-mentioned,Health,Public Health,Beginner Level
3964,Simple Retrieval Queries in MySQL Workbench,https://www.coursera.org/learn/simple-retrieval-queries-in-mysql-workbench,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,50 minutes,English,English,"['Mysql Workbench', 'Database Application', 'Queries', 'MySQL', 'SQL']",4.6stars,Information Technology,Data Management,Subtitles: English
3965,Simulating Time Series Data by Parallel Computing in Python,https://www.coursera.org/learn/simulating-time-series-data-parallel-computing-python,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,not-mentioned,not-mentioned,not-mentioned,"['Big Data', 'Python Programming', 'Simulation', 'Parallel Computing']",not-mentioned,Data Science,Data Analysis,mixed/not-mentioned
3966,Simulating Viral Pandemics in Python,https://www.coursera.org/learn/simulating-viral-pandemic-in-python,Coursera Project Network,GUIDED PROJECT,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/2f/fa317273e848a280b035538e800cd7/2X-description-page-logo-250-x-50.png?auto=format%2Ccompress&dpr=1&h=70,not-mentioned,not-mentioned,not-mentioned,"['Predictive Analytics', 'Python Programming', 'Simulation', 'Machine Learning']",3.9stars,Data Science,Machine Learning,mixed/not-mentioned
3967,Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360,https://www.coursera.org/learn/simulation-analysis-mechanical-engineers,Autodesk,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/eb/5f5f50b2aa11e789502f13425b9e2a/Autodek-Make-Anything_180x180.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 23 hours to complete,English,Subtitles: English,"['Autodesk', 'Simulation', 'Fusion 360', 'Engineering Design', 'Mechanical Engineering']",4.8stars,Physical Science and Engineering,Mechanical Engineering,Intermediate Level
3968,Simulation Skills: This is Your Brain on the Future,https://www.coursera.org/learn/simulation-skills,Institute for the Future,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/fb/566ebdd25f4126acf5cd1996fb43cf/IFTF-Logo-square_-180x180.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 12 hours to complete,English,Subtitles: English,"['Foresight', 'Creativity', 'Strategic Planning', 'Simulation', 'Innovation']",not-mentioned,Business,Business Essentials,Beginner Level
3969,Simulation and modeling of natural processes,https://www.coursera.org/learn/modeling-simulation-natural-processes,University of Geneva,COURSE,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/3d/924a31c87cba44f62637ede5a9ba69/UNIGE-SquareLogo-600x600.png?auto=format%2Ccompress&dpr=2&w=120&h=120&blur=200&px=8,Approx. 23 hours to complete,English,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",[],not-mentioned,Physical Science and Engineering,Research Methods,not-mentioned
